name,comments,pr,issues,handle_issue
droberts195,892,309,477,71
matriv,905,232,375,136
original-brownbear,1610,1229,1319,237
gaobinlong,18,23,26,0
danhermann,65,77,89,10
dnhatn,1097,529,604,245
bwf93,0,0,4,0
DaveCTurner,2665,490,744,93
trejkaz,0,0,9,0
rjernst,4091,1043,1171,173
jtibshirani,774,258,331,37
jakelandis,538,259,310,24
gwbrown,417,298,374,58
williamrandolph,121,100,117,16
nknize,392,128,194,133
tbrooks8,328,480,514,64
jrodewig,1514,825,893,110
astefan,828,189,479,127
jasontedor,4816,1464,1635,401
imotov,1284,446,619,247
costin,1158,161,352,61
jdconrad,697,256,346,73
jimczi,1688,517,607,145
not-napoleon,238,81,99,4
dakrone,3623,659,858,291
andreidan,153,106,123,18
jkakavas,854,428,539,96
probakowski,86,72,73,8
benwtrent,1278,734,808,89
martijnvg,3261,894,1210,489
bpintea,128,35,101,6
jrunu,0,0,1,0
dimitris-athanasiou,835,416,489,51
ywangd,211,45,66,12
easyice,0,0,1,0
davidkyle,547,227,359,15
hendrikmuhs,470,268,336,32
cbuescher,3192,742,1004,431
jloleysens,0,0,3,0
breskeby,0,1,1,0
russcam,34,51,79,2
angeloprobst,0,0,1,0
talevy,935,399,498,96
debadair,444,128,145,82
mark-vieira,943,195,297,81
lcawl,1172,628,650,35
spottedmahn,0,0,1,0
freakingid,1,1,2,0
jbaiera,110,89,113,16
pugnascotia,258,107,126,26
aCLr,0,0,1,0
csoulios,50,41,45,4
cjcenizal,4,4,26,1
tlrx,2536,604,689,194
polyfractal,827,215,345,55
markharwood,597,139,239,139
pgomulka,409,212,267,233
javanna,8592,715,926,620
szabosteve,140,174,175,8
rickardp,0,0,1,0
zhenxianyimeng,0,2,2,0
tvernum,1314,365,483,80
b-deam,0,1,2,0
ItamarBenjamin,0,2,6,0
henningandersen,698,170,209,36
nik9000,6845,1062,1466,321
karmi,133,30,47,11
Gunnerva,0,1,5,0
jpountz,6063,854,1248,480
iverase,185,100,133,21
mayya-sharipova,362,149,222,47
jiankunking,0,0,2,0
anzhsoft,0,1,1,0
yyff,0,2,2,0
yixingzhong,0,0,1,0
BigGitWorld,0,0,1,0
Tasselmi,0,0,1,0
nreese,0,0,8,0
legrego,9,9,11,0
malpani,1,1,7,0
adagios,0,0,1,0
thomasneirynck,2,0,7,0
przemekwitek,686,273,323,48
ywelsch,4915,497,609,116
RogerTheUnicornHive,0,1,1,0
chengyang14,0,1,2,0
nissansz,0,0,1,0
albertzaharovits,1007,191,257,223
Hailei,0,0,2,0
andyyumiao,0,0,1,0
deanjo,0,0,2,0
amitmbm,6,2,4,0
sohami,0,0,1,0
zacharymorn,112,11,11,0
jaijhala,0,0,3,0
stu-elastic,148,48,107,7
mbarretta,0,1,3,0
aleksmaus,145,42,50,9
Jamalarm,0,0,3,0
weizijun,0,12,20,0
chtitux,0,4,4,0
fanxlxs,0,0,1,0
andrewkroh,0,0,4,0
P1llus,0,0,6,0
tveasey,42,16,19,1
Augustin-FL,0,0,2,0
jaymode,1516,302,392,78
hackerwin7,0,1,4,0
perrinal,0,1,1,0
vanessa-bell,0,1,1,0
alogishetty,0,0,1,0
blookot,0,0,4,0
hatharom,0,0,1,0
spinscale,1688,433,626,356
henkepa,0,0,1,0
DENMODSupport,0,0,1,0
boicehuang,0,2,5,0
picandocodigo,0,3,3,0
itiyamas,0,0,9,0
wutingbupt,0,0,1,0
sophiec20,19,0,31,0
andyb-elastic,181,74,107,15
sir-ad,0,0,1,0
loadtool,0,0,1,0
james-crowley,0,2,5,0
kilfoyle,0,1,1,0
svanschalkwyk,0,0,5,0
lilizhaolilizhao,0,0,3,0
mjmbischoff,0,1,1,0
binu-r,0,2,2,0
benskelker,0,1,1,0
rgarcia89,0,0,1,0
abprash,0,1,1,0
Jie1-Hou,0,0,1,0
yuqilinaro,0,2,2,0
cristi-,0,0,1,0
mariaral,5,5,5,0
zurgeg,0,0,1,0
jdu-mydevices,0,0,6,0
Hakky54,6,2,4,0
danielharada,0,0,3,0
yuchen9459,0,0,1,0
samara-101,0,0,1,0
ebuildy,15,6,11,0
wwang500,0,0,4,0
gnehsuy,0,0,2,0
iture123,0,0,3,0
q6413260,0,0,1,0
ZLightning,0,0,5,0
pmuellr,0,0,2,0
carantunes,0,0,3,0
Yv-o-rL,0,0,1,0
geekyouth,0,0,1,0
toby-sutor,0,1,1,0
Patrick0308,6,1,1,0
unix1986,0,0,1,0
delvedor,6,23,26,0
sarveshtamba,0,0,2,0
rw-access,122,15,24,8
ChristianWeissCG,0,0,1,0
romseygeek,333,221,288,248
Neustradamus,0,0,1,0
guruprasadkk,0,0,1,0
johnjaylward,0,0,2,0
scampi,0,10,17,0
HighOnWater,0,0,2,0
muachilin,19,3,3,0
gatling822,0,0,1,0
Elias481,0,0,3,0
marghidanu,0,0,1,0
StratoZen,0,0,1,0
xjtushilei,3,2,3,0
vishnugt,0,3,3,0
zw963,0,0,2,0
q2434006,0,0,1,0
Mpdreamz,109,71,144,15
sherry-ger,2,1,19,0
dliappis,123,62,98,29
patelvp,0,2,2,0
dadoonet,1789,343,618,486
gf2121,0,1,1,0
zcola,0,0,7,0
moifort,0,0,1,0
oneoneonepig,0,1,1,0
bestpath-gb,0,0,1,0
derickson,0,1,2,0
fhalde,0,0,9,0
stemperps,0,1,1,0
auspicacious,0,1,1,0
PhaedrusTheGreek,2,4,53,0
crisdarocha,0,1,4,0
hello4usharath,0,0,5,0
sebgl,0,0,1,0
ollik1,0,2,5,0
ezimuel,0,4,6,0
geekpete,31,48,77,0
SivagurunathanV,26,4,4,0
mellieA,2,0,2,0
Kamna09,0,0,1,0
a03nikki,0,1,2,0
vkocubinsky,0,0,1,0
jguay,0,1,11,0
roncohen,0,0,3,0
DylanGriffith,0,1,1,0
bigshans,0,0,2,0
Subhadeep2707,0,2,2,0
benjaminran,1,2,2,0
ChinaXing,0,0,1,0
lucabelluccini,13,3,18,0
sventschui,0,0,1,0
karussell,107,5,20,0
javiramos1,0,0,1,0
qidaye,0,2,2,0
phlegx,0,0,1,0
saiergong,1,1,3,0
azasypkin,11,7,12,0
DanRoscigno,2,2,4,0
echotj,0,0,1,0
nachogiljaldo,0,0,8,0
ratinhoo,0,0,1,0
cb29,0,0,1,0
LoadingZhang,0,1,6,0
dharada,0,2,8,0
junjun-zhang,3,0,2,0
s-nel,0,0,3,0
hub-cap,614,144,162,44
philippkahr,0,2,2,0
peteharverson,5,0,5,0
SledgeHammer01,0,0,2,0
ivssh,1,4,4,0
Shad0w-D0rk3R,0,1,1,0
christianskovholm,0,0,1,0
9ins,0,0,1,0
zhuzhu9651,0,0,1,0
shikhar,35,2,8,0
dolaru,1,0,22,0
danielmitterdorfer,897,153,238,7
congwensheng,0,0,1,0
yao-ding,0,0,1,0
georgesouzafarias,0,0,2,0
kaihekaihe,0,0,2,0
xtermi2,2,0,1,0
cawoodm,1,3,9,0
msufa,0,0,1,0
AndyHunt66,0,2,5,0
zia-mking,0,0,1,0
cpitchford,0,0,1,0
devincheca,0,0,1,0
graphaelli,6,6,8,0
nicktoker,0,0,1,0
jbogp,0,0,1,0
zhousPole,0,0,1,0
CoderViking,0,0,1,0
tylersmalley,4,1,4,0
tninokehoe,0,1,1,0
krlm,0,0,1,0
zjfplayer,0,0,1,0
simlu,0,0,1,0
ycombinator,87,55,80,4
nickpeihl,2,3,4,0
getpwnam,0,0,1,0
ogupte,1,9,9,0
alainbodiguel,0,0,1,0
ldpvl,0,0,1,0
FandyChen,0,0,1,0
karenzone,1,4,4,0
jportner,0,0,1,0
peterschretlen,0,2,3,0
immon,2,3,5,0
cjcjameson,0,1,1,0
xlogin,0,0,1,0
runtman,0,0,1,0
vad-de-mark,0,0,1,0
abhinavKeshri07,0,0,1,0
ShawnLi1014,0,4,4,0
lgypro,0,2,2,0
iorixxx,0,1,3,0
mattweber,206,32,64,1
blaklaybul,0,0,4,0
timroes,2,1,6,0
aishwaryabk,0,0,1,0
dreamay,0,0,1,0
djptek,29,4,6,1
chrisronline,3,9,21,5
telendt,4,0,3,0
JaspreetSinghChahal,0,0,1,0
admidelu,0,0,1,0
mdepascale,0,0,1,0
fkelbert,0,10,33,0
jesserobles,0,0,1,0
arbarik,0,0,1,0
jyash97,0,1,1,0
vthorwat,0,0,1,0
magicpotion,0,0,1,0
koren-v,0,0,1,0
facevoid,0,0,1,0
icalvete,0,0,1,0
Mich-b,0,1,1,0
danmuzi,3,1,1,0
GeChenxin,0,3,4,0
fbaligand,4,4,25,0
JaeGeunBang,1,4,5,0
JaredTan95,1,4,4,0
musteaf,15,1,2,0
kkewwei,0,7,26,0
kangning1,0,0,1,0
dawi,3,1,7,0
dizzzyroma,0,0,2,0
shwetathareja,0,0,3,0
sw-jung,0,0,2,0
jmlrt,0,0,1,0
jakommo,0,2,21,0
soumyadip007,0,0,1,0
Simolx,0,1,2,0
ibtisamtahir,0,0,1,0
Leaf-Lin,0,2,6,0
orhantoy,1,8,8,0
craigboman,0,1,1,0
higee,2,2,2,0
paulm677,0,0,1,0
davydotcom,0,0,8,0
ppf2,59,20,287,1
almiche,0,0,2,0
cauemarcondes,0,2,2,0
astik,0,1,1,0
durancu,0,0,1,0
soumilshah1995,0,0,1,0
jureaky,0,3,4,0
yselkowitz,0,1,1,0
nk111,0,0,1,0
jetnet,0,0,2,0
AdamCanady,0,1,1,0
vb-dave,0,0,1,0
larry-hernandez,0,0,1,0
jepert,0,0,1,0
bcbrockway,0,0,1,0
garfberg,0,0,1,0
AngelaFabregues,0,1,1,0
aliciascott,0,0,1,0
OrangeDog,1,0,4,0
albertored,0,0,1,0
GeorgeAp,0,0,1,0
jordan-lewis,0,0,1,0
bh9,0,0,1,0
felix-lessoer,0,0,1,0
longvd89,0,0,1,0
gtback,0,1,1,0
awzhgw,0,0,1,0
dominikriemer,0,1,1,0
nikhil-bhat,0,0,3,0
achang77,0,0,1,0
raphaelchampeimont,0,0,1,0
sgreszcz,0,0,2,0
tc027,0,0,1,0
antondollmaier,0,1,1,0
gemaliano,0,0,8,0
PereBal,0,0,3,0
boat320,0,0,1,0
fretboarder,0,0,1,0
CleWang,0,0,1,0
rhymes,0,1,1,0
hirakida,0,1,1,0
rm2k,0,0,1,0
lakechat,0,0,1,0
filipmnowak,0,1,1,0
dgieselaar,4,1,1,1
kobelb,8,5,12,1
matiasponce,0,0,1,0
Sharptsa,0,0,1,0
joshdevins,6,2,6,2
colings86,1935,359,549,460
nattachai305,0,2,2,0
hirampeng,0,0,1,0
tobio,0,0,1,0
bobbyi,0,0,3,0
dvisztempacct,0,0,2,0
AmirSedrak,0,0,1,0
marcoserrato,0,0,1,0
harshahst,0,0,1,0
Roberdvs,0,0,1,0
vinaychila,0,0,1,0
consulthys,26,4,19,0
glascaleia,0,0,2,0
sachinfrayne,0,5,10,0
pickypg,406,69,220,39
wylieconlon,0,0,2,0
nickcanz,2,2,3,0
chenzx,0,0,2,0
zhanghezhen,2,4,4,0
hubiao1,0,0,5,0
Bukhtawar,28,8,25,0
shaheerakr,0,1,1,0
lekrus,0,0,1,0
Joseph-R,0,0,1,0
henryptung,0,1,3,0
anmol27katyani,0,0,1,0
ErikvanDuren,0,0,1,0
cdy668,0,0,1,0
wangkhc,0,5,9,0
davidbkemp,1,2,8,0
seanstory,0,2,2,0
richiejarvis,1,3,5,2
minfrin,0,0,12,0
jackielii,0,0,1,0
nrichers,1,7,7,0
zuketo,19,0,2,0
