,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
0,kimchy,4781,839460,502833,415,37847,3461.0,149.0,1216.0,47.0
1,Mahendra M,1,1,1,0,1,,,,
2,Mahendra M,1,7,0,0,1,,,,
3,Adriano Ferreira,9,314,11,2,17,,,,
4,Tim Dysinger,2,29,29,0,21,,,,
5,harryf,1,150,1,0,5,4.0,2.0,5.0,0.0
6,Edward Dale,2,465,71,0,14,,,,
7,Alberto Paro,4,36,9,0,6,,,,
8,Benoit Sigoure,2,17,20,1,3,,,,
9,Charles Duffy,1,15,3,0,1,,,,
10,unknown,1,29,1,0,1,,,,
11,Igor Motov,762,153718,52842,67,5671,,,,
12,Karel Minarik,40,787,351,6,73,,,,
13,Joey Geiger,1,1,1,0,1,,,,
14,Clinton Gormley,1090,232695,28750,40,3489,,,,
15,Adam Creeger,1,24,0,0,2,,,,
16,webdevuser,2,40,8,0,3,,,,
17,Bobby T,1,3,0,0,1,,,,
18,Erick Tryzelaar,3,15,6,0,3,,,,
19,Ren¨¦ Scheibe,1,212,218,0,12,,,,
20,Paul_Loy,6,303,75,0,23,,,,
21,belevian,2,296,0,0,8,2.0,4.0,6.0,0.0
22,melix,2,289,4,0,10,5.0,1.0,3.0,0.0
23,Austin McKinley,1,2,0,1,1,,,,
24,Jonathan Evans,2,192,1,0,7,,,,
25,Jonathan R H Evans,1,1,1,0,1,,,,
26,Benjamin Dev¨¨ze,7,1067,86,2,36,,,,
27,David Pilato,3,104,4,0,5,,,,
28,acerb,1,8,14,0,1,2.0,2.0,2.0,0.0
29,LocJayMP,1,151,8,0,6,,,,
30,Njal Karevoll,9,59,14,0,13,,,,
31,Austin McKinley,1,3,0,0,1,,,,
32,Nicolas Huray,2,456,28,0,12,,,,
33,Pedro Alves,1,11,14,0,2,,,,
34,Hiroyuki Ikezoe,1,2,1,0,1,,,,
35,Jeremie BORDIER,2,109,9,0,2,,,,
36,Florian Gilcher,3,44,25,1,12,,,,
37,Aman Gupta,1,2,2,0,1,,,,
38,David Pilato,1432,99587,65317,115,5840,,,,
39,Aaron Sutter,1,4,2,0,1,,,,
40,George Chatzigeorgiou,1,3,0,0,1,,,,
41,Miquel Rodr¨ªguez Telep / Michael Rodr¨ªguez-Torrent,1,3,3,0,1,,,,
42,Peter,11,992,68,0,24,,,,
43,jayson.minard,4,80,10,1,5,,,,
44,bbgordonn,2,262,6,0,7,13.0,1.0,3.0,0.0
45,Lee Hinman,607,50366,25875,30,2625,,,,
46,Edward Wang,1,1,1,0,1,,,,
47,Damien Hardy,2,3,3,0,2,,,,
48,Olivier Favre,6,682,72,0,16,,,,
49,Jan Fiedler,1,1,1,0,1,,,,
50,barsk,2,36,8,0,2,2.0,1.0,3.0,0.0
51,Henac,2,142,9,0,7,,,,
52,Holden Karau,5,45,29,0,5,,,,
53,Barnaby Gray,1,14,0,0,1,,,,
54,alheim,1,22,2,0,1,,,,
55,Carnell Washington Jr,1,80,18,0,1,,,,
56,Fredrik Sundberg,1,1,1,0,1,,,,
57,Stefan Fussenegger,1,3,1,1,1,,,,
58,Radu Gheorghe,1,1,1,0,1,,,,
59,Robin Hughes,2,7,2,0,2,,,,
60,Jordi Boggiano,1,1,1,0,1,,,,
61,Simon Willnauer,2811,272664,254893,206,28775,,,,
62,Aurelien Requiem,5,17,13,0,5,,,,
63,Martijn van Groningen,4,562,49,1,11,,,,
64,Ozgur Orhan,1,6,6,0,5,,,,
65,Chris Male,5,4017,230,0,71,,,,
66,Petri Lehtinen,1,27,1,0,2,,,,
67,Matt Weber,23,8322,1273,2,129,,,,
68,Andrius Juozapaitis,2,6,4,0,2,,,,
69,Drew Raines,4,28,11,0,7,,,,
70,Martijn van Groningen,2668,297352,167046,234,14086,,,,
71,Jacob Evans,1,1,1,0,1,,,,
72,uboness,7,633,195,2,15,659.0,46.0,67.0,32.0
73,Sean Laurent,1,24,18,0,1,,,,
74,Kenn Knowles,1,2,2,0,1,,,,
75,Karel Minarik,12,661,954,1,25,,,,
76,Chris Male,9,2534,1081,0,122,,,,
77,Scott MacVicar,1,1,1,0,1,,,,
78,Aaron Dixon,1,25,4,1,4,,,,
79,Nicholas Tung,1,1,1,0,1,,,,
80,Mark Gallop,4,8,4,0,4,,,,
81,Alex Lambert,1,1,0,0,1,,,,
82,uboness,456,306991,67570,92,6956,659.0,46.0,67.0,32.0
83,Phil Kates,1,14,10,0,1,,,,
84,Dave Brosius,1,1,1,1,1,,,,
85,Jilles van Gurp,1,30,0,0,1,,,,
86,synhershko,16,377,52,0,23,132.0,26.0,82.0,0.0
87,Daniel Muller,1,1,1,0,1,,,,
88,Florian Schilling,1,90,513,0,14,,,,
89,morsegel,1,3,0,0,1,,,,
90,Jeffrey Gerard,1,49,4,1,2,,,,
91,Ilya Nazarov,1,1,1,0,1,,,,
92,Drew Raines,10,150,101,0,11,,,,
93,Jeremy Jongsma,1,1,1,0,1,,,,
94,tristanbuckner,1,47,40,0,1,0.0,1.0,2.0,0.0
95,Andrii Gakhov,1,2,2,1,1,,,,
96,Juan David Pastas,1,2,2,0,1,,,,
97,Alexander Reelsen,958,166001,109433,125,7088,,,,
98,Florian Schilling,22,10914,2976,2,213,,,,
99,Dmitry Zhlobo,1,6,1,0,1,,,,
100,adavis,2,64,6,0,4,,,,
101,Vinod Chandru,1,2,0,0,1,,,,
102,Leslie Wittig Quintanilla,3,11,1,0,4,,,,
103,Lucas Ward,1,40,0,0,3,,,,
104,Derek McNeil,1,71,0,0,3,,,,
105,Alexander Kahn,1,3,0,0,1,,,,
106,Brusic,15,368,80,1,30,,,,
107,Boaz Leskes,1127,104199,65649,123,5622,,,,
108,Karel Minarik,130,3788,726,1,243,,,,
109,Adrien Grand,1338,177703,213798,165,14386,,,,
110,iksnalybok,2,8,8,0,2,22.0,3.0,16.0,0.0
111,Christoph Kempen,1,2,1,0,1,,,,
112,Honza Kral,108,1982,1094,3,378,,,,
113,ejain,1,1,0,0,1,18.0,1.0,11.0,0.0
114,Dariusz Gertych,1,86,1,0,4,,,,
115,Britta Weber,373,38787,10157,58,1380,,,,
116,Zachary Tong,96,20421,3053,14,426,,,,
117,C¨¦dric HOURCADE,3,886,102,0,20,,,,
118,Drew Raines,80,85111,82525,3,1129,,,,
119,Luca Cavanna,1,1,1,0,1,,,,
120,Luca Cavanna,1580,117299,91844,178,8706,,,,
121,Brett Dargan,1,25,6,0,1,,,,
122,Luca Cavanna,1,883,106,0,17,,,,
123,skymeyer,1,4,0,0,1,1.0,1.0,1.0,0.0
124,Nik Everett,1854,245739,161057,149,16573,,,,
125,Peter Moberg,1,33,16,0,1,,,,
126,Manuel Bernhardt,1,4,0,0,1,,,,
127,Gianni O'Neill,1,9,1,0,1,,,,
128,Fr¨¦d¨¦ric Camblor,1,194,24,1,7,,,,
129,Dan Everton,1,1,1,1,1,,,,
130,Louis Gueye,1,1,1,0,1,,,,
131,Brad Fritz,1,2,2,0,2,,,,
132,matthewarkin,1,1,1,0,1,1.0,1.0,2.0,0.0
133,Costin Leau,156,67368,12685,19,1563,,,,
134,Spencer Alger,7,222,76,0,73,,,,
135,gtt116,1,1,1,0,1,0.0,1.0,1.0,0.0
136,spenceralger,10,15,14,0,8,,,,
137,Bernhard K. Weisshuhn,1,8,1,0,3,,,,
138,Ryan S. Brown,1,2,0,0,1,,,,
139,Ben McCann,3,9,3,0,3,,,,
140,Jonathan CHAMPION,1,2,2,0,2,,,,
141,Subhash Gopalakrishnan,1,20,1,0,3,,,,
142,Bogdan Dumitrescu,1,32,1,0,2,,,,
143,steve mayzak,4,7,11,0,4,,,,
144,Blake Smith,1,2,2,0,2,,,,
145,Jun Ohtani,89,8038,4084,15,310,,,,
146,Richard Boulton,3,8,8,1,3,,,,
147,Markus Fischer,2,10,3,0,2,,,,
148,Josh Canfield,1,2,0,0,1,,,,
149,Helton Alponti,1,27,16,0,2,,,,
150,Opak Alex,1,3,0,0,1,,,,
151,Dan Everton,1,8,3,0,1,,,,
152,Vojtech Hyza,1,55,36,0,2,,,,
153,Leonardo Menezes,6,132,7,1,15,,,,
154,Cory G Watson,1,3,0,0,1,,,,
155,Andrew Ochsner,1,1,1,0,1,,,,
156,Antoine Rey,1,1,1,0,1,,,,
157,Mark Elliot,1,1,1,0,1,,,,
158,mrsolo,35,1232,144,1,43,47.0,12.0,13.0,2.0
159,colings86,4,212,1,1,5,1935.0,359.0,549.0,460.0
160,Andrew Gross,1,2,2,1,1,,,,
161,Joe Pollard,1,53,64,0,1,,,,
162,Conrad Pankoff,1,9,9,0,3,,,,
163,Kevin Kluge,1,2,2,0,2,,,,
164,Yousef,2,2,2,0,2,,,,
165,Diego Ongaro,1,14,0,0,1,,,,
166,Sebastian Geidies,2,1021,164,0,17,,,,
167,Gr¨¦gory Quatannens,1,4,4,0,1,,,,
168,Chris Simpson,1,2,1,0,1,,,,
169,Richard Pijnenburg,4,61,7,0,5,,,,
170,Dawid Weiss,8,714,553,1,106,,,,
171,sam,2,5,5,0,3,,,,
