name,cmt,add,del,fixes,files
kimchy,4781,839460,502833,415,37847
Mahendra M,1,1,1,0,1
Mahendra M,1,7,0,0,1
Adriano Ferreira,9,314,11,2,17
Tim Dysinger,2,29,29,0,21
harryf,1,150,1,0,5
Edward Dale,2,465,71,0,14
Alberto Paro,4,36,9,0,6
Benoit Sigoure,2,17,20,1,3
Charles Duffy,1,15,3,0,1
unknown,1,29,1,0,1
Igor Motov,762,153718,52842,67,5671
Karel Minarik,40,787,351,6,73
Joey Geiger,1,1,1,0,1
Clinton Gormley,1090,232695,28750,40,3489
Adam Creeger,1,24,0,0,2
webdevuser,2,40,8,0,3
Bobby T,1,3,0,0,1
Erick Tryzelaar,3,15,6,0,3
Ren¨¦ Scheibe,1,212,218,0,12
Paul_Loy,6,303,75,0,23
belevian,2,296,0,0,8
melix,2,289,4,0,10
Austin McKinley,1,2,0,1,1
Jonathan Evans,2,192,1,0,7
Jonathan R H Evans,1,1,1,0,1
Benjamin Dev¨¨ze,7,1067,86,2,36
David Pilato,3,104,4,0,5
acerb,1,8,14,0,1
LocJayMP,1,151,8,0,6
Njal Karevoll,9,59,14,0,13
Austin McKinley,1,3,0,0,1
Nicolas Huray,2,456,28,0,12
Pedro Alves,1,11,14,0,2
Hiroyuki Ikezoe,1,2,1,0,1
Jeremie BORDIER,2,109,9,0,2
Florian Gilcher,3,44,25,1,12
Aman Gupta,1,2,2,0,1
David Pilato,1432,99587,65317,115,5840
Aaron Sutter,1,4,2,0,1
George Chatzigeorgiou,1,3,0,0,1
Miquel Rodr¨ªguez Telep / Michael Rodr¨ªguez-Torrent,1,3,3,0,1
Peter,11,992,68,0,24
jayson.minard,4,80,10,1,5
bbgordonn,2,262,6,0,7
Lee Hinman,607,50366,25875,30,2625
Edward Wang,1,1,1,0,1
Damien Hardy,2,3,3,0,2
Olivier Favre,6,682,72,0,16
Jan Fiedler,1,1,1,0,1
barsk,2,36,8,0,2
Henac,2,142,9,0,7
Holden Karau,5,45,29,0,5
Barnaby Gray,1,14,0,0,1
alheim,1,22,2,0,1
Carnell Washington Jr,1,80,18,0,1
Fredrik Sundberg,1,1,1,0,1
Stefan Fussenegger,1,3,1,1,1
Radu Gheorghe,1,1,1,0,1
Robin Hughes,2,7,2,0,2
Jordi Boggiano,1,1,1,0,1
Simon Willnauer,2811,272664,254893,206,28775
Aurelien Requiem,5,17,13,0,5
Martijn van Groningen,4,562,49,1,11
Ozgur Orhan,1,6,6,0,5
Chris Male,5,4017,230,0,71
Petri Lehtinen,1,27,1,0,2
Matt Weber,23,8322,1273,2,129
Andrius Juozapaitis,2,6,4,0,2
Drew Raines,4,28,11,0,7
Martijn van Groningen,2668,297352,167046,234,14086
Jacob Evans,1,1,1,0,1
uboness,7,633,195,2,15
Sean Laurent,1,24,18,0,1
Kenn Knowles,1,2,2,0,1
Karel Minarik,12,661,954,1,25
Chris Male,9,2534,1081,0,122
Scott MacVicar,1,1,1,0,1
Aaron Dixon,1,25,4,1,4
Nicholas Tung,1,1,1,0,1
Mark Gallop,4,8,4,0,4
Alex Lambert,1,1,0,0,1
uboness,456,306991,67570,92,6956
Phil Kates,1,14,10,0,1
Dave Brosius,1,1,1,1,1
Jilles van Gurp,1,30,0,0,1
synhershko,16,377,52,0,23
Daniel Muller,1,1,1,0,1
Florian Schilling,1,90,513,0,14
morsegel,1,3,0,0,1
Jeffrey Gerard,1,49,4,1,2
Ilya Nazarov,1,1,1,0,1
Drew Raines,10,150,101,0,11
Jeremy Jongsma,1,1,1,0,1
tristanbuckner,1,47,40,0,1
Andrii Gakhov,1,2,2,1,1
Juan David Pastas,1,2,2,0,1
Alexander Reelsen,958,166001,109433,125,7088
Florian Schilling,22,10914,2976,2,213
Dmitry Zhlobo,1,6,1,0,1
adavis,2,64,6,0,4
Vinod Chandru,1,2,0,0,1
Leslie Wittig Quintanilla,3,11,1,0,4
Lucas Ward,1,40,0,0,3
Derek McNeil,1,71,0,0,3
Alexander Kahn,1,3,0,0,1
Brusic,15,368,80,1,30
Boaz Leskes,1127,104199,65649,123,5622
Karel Minarik,130,3788,726,1,243
Adrien Grand,1338,177703,213798,165,14386
iksnalybok,2,8,8,0,2
Christoph Kempen,1,2,1,0,1
Honza Kral,108,1982,1094,3,378
ejain,1,1,0,0,1
Dariusz Gertych,1,86,1,0,4
Britta Weber,373,38787,10157,58,1380
Zachary Tong,96,20421,3053,14,426
C¨¦dric HOURCADE,3,886,102,0,20
Drew Raines,80,85111,82525,3,1129
Luca Cavanna,1,1,1,0,1
Luca Cavanna,1580,117299,91844,178,8706
Brett Dargan,1,25,6,0,1
Luca Cavanna,1,883,106,0,17
skymeyer,1,4,0,0,1
Nik Everett,1854,245739,161057,149,16573
Peter Moberg,1,33,16,0,1
Manuel Bernhardt,1,4,0,0,1
Gianni O'Neill,1,9,1,0,1
Fr¨¦d¨¦ric Camblor,1,194,24,1,7
Dan Everton,1,1,1,1,1
Louis Gueye,1,1,1,0,1
Brad Fritz,1,2,2,0,2
matthewarkin,1,1,1,0,1
Costin Leau,156,67368,12685,19,1563
Spencer Alger,7,222,76,0,73
gtt116,1,1,1,0,1
spenceralger,10,15,14,0,8
Bernhard K. Weisshuhn,1,8,1,0,3
Ryan S. Brown,1,2,0,0,1
Ben McCann,3,9,3,0,3
Jonathan CHAMPION,1,2,2,0,2
Subhash Gopalakrishnan,1,20,1,0,3
Bogdan Dumitrescu,1,32,1,0,2
steve mayzak,4,7,11,0,4
Blake Smith,1,2,2,0,2
Jun Ohtani,89,8038,4084,15,310
Richard Boulton,3,8,8,1,3
Markus Fischer,2,10,3,0,2
Josh Canfield,1,2,0,0,1
Helton Alponti,1,27,16,0,2
Opak Alex,1,3,0,0,1
Dan Everton,1,8,3,0,1
Vojtech Hyza,1,55,36,0,2
Leonardo Menezes,6,132,7,1,15
Cory G Watson,1,3,0,0,1
Andrew Ochsner,1,1,1,0,1
Antoine Rey,1,1,1,0,1
Mark Elliot,1,1,1,0,1
mrsolo,35,1232,144,1,43
colings86,4,212,1,1,5
Andrew Gross,1,2,2,1,1
Joe Pollard,1,53,64,0,1
Conrad Pankoff,1,9,9,0,3
Kevin Kluge,1,2,2,0,2
Yousef,2,2,2,0,2
Diego Ongaro,1,14,0,0,1
Sebastian Geidies,2,1021,164,0,17
Gr¨¦gory Quatannens,1,4,4,0,1
Chris Simpson,1,2,1,0,1
Richard Pijnenburg,4,61,7,0,5
Dawid Weiss,8,714,553,1,106
sam,2,5,5,0,3
markharwood,122,32460,3920,44,886
Rashid Khan,5,0,0,0,0
ohnorobo,1,611,722,0,2
LightGuard,1,2,0,0,2
Benjamin Vetter,2,21,16,0,9
Rob Cherry,1,114,34,0,3
Alexander Reelsen,2,1348,153,0,35
b.hwang,4,0,0,0,0
dpen2000,1,1,1,0,1
Andy Goldstein,2,14,1,0,2
Matthias Wahl,2,72,21,1,5
Paul Horn,1,1,1,0,1
Kendall Gifford,1,1,1,0,1
Chris Zelenak,1,1,1,0,1
